Tiempo;Nacional;Andaluc‰Ûªa;Arag‰ÛÓn;Asturias, Principado de;Balears, Illes;Canarias;Cantabria;Castilla y Le‰ÛÓn;Castilla - La Mancha;Catalu‰ÛÒa;Comunitat Valenciana;Extremadura;Galicia;Madrid, Comunidad de;Murcia, Regi‰ÛÓn de;Navarra, Comunidad Foral de;Pa‰Ûªs Vasco;Rioja, La
    2011T1;18426.2;2832.5;539.4;397.5;430.7;770.5;233.4;978.8;786.8;3213;1883.9;376.9;1085.5;2930.3;538.8;278.9;959.3;135.9
    2011T2;18622;2810.7;550.4;408.5;480.9;772.4;240.6;1000.9;787.5;3264;1911.7;384.5;1097.5;2939.9;549.2;279.7;957.7;133.3
    2011T3;18484.5;2773.7;558.4;404.3;510.8;774.9;246.9;1012.8;793.5;3213.6;1881.8;376.1;1093.9;2865.4;551.3;283.2;957.2;135.8
    2011T4;18153;2774.9;553.3;395.8;437.9;756.9;239.9;986.7;774.6;3136.6;1883.2;357.5;1080.4;2827.6;537.6;274.3;950.9;131.4
    2012T1;17765.1;2705.3;543.2;383.2;428.2;752.5;234.6;955;744.8;3072.5;1815.3;338.9;1057;2837.3;534;266.2;918.5;127.8
    2012T2;17758.5;2686.8;546.5;389.2;489;741;233.5;961.8;726.2;3059.4;1816.1;330.2;1042;2840.8;539.9;268.7;912.3;124.9
    2012T3;17667.7;2625.4;547.9;386.3;513.9;738.7;238.3;972;730.2;3032.6;1793.5;347.8;1055.8;2822.5;526;271.6;889.6;126.2
    2012T4;17339.4;2604.4;547.7;372.9;456.3;741.8;230.6;932.9;710.4;2962.1;1789.4;340.7;1033.8;2775.4;510.2;263.6;890.9;126.7
    2013T1;17030.2;2547.5;511.8;368.4;429.5;735.2;221;907.5;699.6;2933.2;1761;331.9;1005.6;2760.7;504.7;256.8;880.6;124.1
    2013T2;17160.6;2609.8;510.8;363;496.7;725;215.6;921;712.2;2940.6;1757.8;339.4;1005.4;2739;514.1;256.7;880.1;121.7
    2013T3;17230;2557.7;522.7;370.2;522.4;719.8;227.1;928;721;3005.7;1772.5;345.1;1011.8;2706.2;522.3;259.7;861.6;126.8
    2013T4;17135.2;2571;515.7;376.2;454.8;738.7;226.2;909;716.4;2998.8;1793.5;342.4;1002.6;2666.4;518.4;259.3;872;125.5
    2014T1;16950.6;2612.7;500.9;371.1;418.5;737.6;220.2;901.5;705.3;2960.7;1752.7;339.2;982.8;2636.1;522.9;260.3;851.6;125.4
    2014T2;17353;2630.7;517.9;374.7;501.8;735.1;225.5;918.1;716.5;3040;1805.5;354.2;991.5;2688.5;541.2;262;870.8;129.5
    2014T3;17504;2611;532.2;384.2;532.7;723.9;230;939.2;716.4;3074.8;1790.1;367.4;1017.3;2746.2;530.9;263.3;864.3;130.5
    2014T4;17569.1;2681.8;526.5;375.2;478.5;758.7;226.8;921;710.3;3048.1;1855.4;354.8;1000.4;2789;525.3;264.3;874.5;127.5
    2015T1;17454.8;2683.7;524.5;371.8;455.9;771.5;226.3;913.3;707;3023.2;1836.3;350.1;987.5;2786.6;513.4;258.2;870.3;126.9
    2015T2;17866.5;2808.5;540.8;368.4;525.8;774.2;226.1;939.3;720.8;3075;1867.1;355.2;1009.9;2808.3;534.2;267.3;864.6;130.7
